post_id,user_id,content,sentiment,topic,likes,retweets_shares,replies,timestamp,hashtags
post_0073,user_042,Discussion about TikTok features.What do you think? #health #TikTok,neutral,health,2448,3022,25,2025-12-24 17:15:09.171244, #health #TikTok
post_0074,user_012,Facebook needs serious improvements. Not impressed #health #Facebook,negative,health,2811,4742,289,2026-01-14 06:15:09.171244, #health #Facebook
post_0075,user_019,Great to see progress in ML. Well done everyone! #politics #Instagram,positive,politics,5015,3812,879,2025-12-31 04:15:09.171244, #politics #Instagram
post_0076,user_030,The state sports is concerning. Need urgent action #sports #Instagram,negative,sports,28,3066,572,2026-01-19 19:15:09.171244, #sports #Instagram
post_0077,user_034,Änalysis of recent health developments. #health #Facebook,neutral,health,4216,2019,335,2026-01-12 13:15:09.172239, #health #Facebook
post_0078,user_022,Discussion about YouTube features.What do you think? #health #YouTube,neutral,health,9997,4336,485,2025-12-28 04:15:09.172239, #health #YouTube
post_0079,user_002,Great to see progress in programming. Well done everyone! #science #TikTok,positive,science,6128,4202,420,2026-01-05 07:15:09.172239, #science #TikTok
post_0080,user_016,Loving the new features in Facebook. Game changer! #sports #Facebook,positive,sports,2753,3982,988,2026-01-04 06:15:09.172239, #sports #Facebook
post_0081,user_015,Änalysis of recent health developments. #health #Twitter,neutral,health,8993,4117,592,2025-12-27 21:15:09.172239, #health #Twitter
post_0082,user_001,New study shows trends iin programming. Data attached. #technology #Instagram,neutral,technology,9578,913,32,2026-01-08 10:15:09.172239, #technology #Instagram
post_0083,user_022,Änalysis of recent politics developments. #politics #Instagram,neutral,politics,8828,882,930,2026-01-02 17:15:09.172239, #politics #Instagram
post_0084,user_009,Loving the new features in YouTube. Game changer! #entertainment #YouTube,positive,entertainment,975,1203,954,2026-01-15 05:15:09.172239, #entertainment #YouTube
post_0085,user_047,So excited about the new sports developments.Future is bright #sports #Instagram,positive,sports,7904,1267,667,2026-01-05 01:15:09.172239, #sports #Instagram
post_0086,user_010,Frustrated with the lack of progress in programming. #entertainment #YouTube,negative,entertainment,5225,389,476,2025-12-24 14:15:09.172239, #entertainment #YouTube
post_0087,user_020,Great to see progress in data science. Well done everyone! #entertainment #Twitter,positive,entertainment,4516,1445,711,2025-12-27 20:15:09.172239, #entertainment #Twitter
post_0088,user_019,Really disappointed with YouTube.Excepted better #politics #YouTube,negative,politics,9610,2673,592,2025-12-24 11:15:09.172239, #politics #YouTube
post_0089,user_024,Discussion about YouTube features.What do you think? #science #YouTube,neutral,science,6002,3013,706,2026-01-13 04:15:09.172239, #science #YouTube
post_0090,user_038,Twitter needs serious improvements. Not impressed #technology #Twitter,negative,technology,1161,2422,931,2026-01-07 19:15:09.172239, #technology #Twitter
post_0091,user_043,So excited about the new science developments.Future is bright #science #YouTube,positive,science,7293,314,184,2026-01-09 07:15:09.172239, #science #YouTube
post_0092,user_034,Great to see progress in data science. Well done everyone! #sports #Twitter,positive,sports,3598,3337,118,2026-01-14 01:15:09.172239, #sports #Twitter
post_0093,user_044,Discussion about Instagram features.What do you think? #technology #Instagram,neutral,technology,1510,1156,525,2026-01-07 15:15:09.172239, #technology #Instagram
post_0094,user_001,New study shows trends iin data science. Data attached. #sports #Twitter,neutral,sports,7540,4112,111,2026-01-17 10:15:09.172239, #sports #Twitter
post_0095,user_016,Great to see progress in ML. Well done everyone! #technology #YouTube,positive,technology,6582,2155,249,2025-12-29 07:15:09.172239, #technology #YouTube
post_0096,user_023,Really disappointed with YouTube.Excepted better #politics #YouTube,negative,politics,9989,895,275,2026-01-01 08:15:09.172239, #politics #YouTube
post_0097,user_020,New study shows trends iin AI. Data attached. #health #YouTube,neutral,health,2029,4513,85,2026-01-05 11:15:09.172239, #health #YouTube
post_0098,user_037,Great to see progress in data science. Well done everyone! #technology #YouTube,positive,technology,6261,4250,935,2025-12-29 05:15:09.172239, #technology #YouTube
post_0099,user_048,Interesting article about health.Worth reading. #health #YouTube,neutral,health,5611,3030,649,2025-12-24 15:15:09.172239, #health #YouTube
post_0100,user_049,So excited about the new technology developments.Future is bright #technology #Twitter,positive,technology,5037,90,474,2025-12-23 01:15:09.172239, #technology #Twitter
post_0101,user_008,Really disappointed with Instagram.Excepted better #sports #Instagram,negative,sports,6417,690,89,2025-12-25 08:15:09.172239, #sports #Instagram
post_0102,user_019,So excited about the new politics developments.Future is bright #politics #Instagram,positive,politics,5406,1926,543,2026-01-21 01:15:09.172239, #politics #Instagram
post_0103,user_028,Discussion about YouTube features.What do you think? #science #YouTube,neutral,science,3449,2390,818,2026-01-10 19:15:09.172239, #science #YouTube
post_0104,user_043,Änalysis of recent sports developments. #sports #Twitter,neutral,sports,2175,2049,95,2025-12-24 22:15:09.172239, #sports #Twitter
post_0105,user_006,Loving the new features in Twitter. Game changer! #science #Twitter,positive,science,636,1925,481,2026-01-05 14:15:09.173246, #science #Twitter
post_0106,user_029,YouTube needs serious improvements. Not impressed #science #YouTube,negative,science,1122,3155,608,2025-12-23 05:15:09.173246, #science #YouTube
post_0107,user_007,Interesting article about politics.Worth reading. #politics #Instagram,neutral,politics,7970,252,410,2026-01-17 05:15:09.173246, #politics #Instagram
post_0108,user_001,Interesting article about technology.Worth reading. #technology #YouTube,neutral,technology,4703,1107,314,2026-01-05 19:15:09.173246, #technology #YouTube
post_0109,user_032,Frustrated with the lack of progress in ML. #science #YouTube,negative,science,9491,1101,665,2026-01-05 17:15:09.173246, #science #YouTube
post_0110,user_017,So excited about the new health developments.Future is bright #health #YouTube,positive,health,6662,1937,500,2026-01-12 13:15:09.173246, #health #YouTube
post_0111,user_008,Discussion about Twitter features.What do you think? #sports #Twitter,neutral,sports,7341,3311,705,2026-01-17 07:15:09.173246, #sports #Twitter
post_0112,user_003,Really disappointed with Instagram.Excepted better #health #Instagram,negative,health,5785,1726,193,2025-12-26 17:15:09.173246, #health #Instagram
post_0113,user_035,Frustrated with the lack of progress in programming. #politics #Twitter,negative,politics,6046,3938,346,2026-01-21 14:15:09.173246, #politics #Twitter
post_0114,user_040,Just had an amazing experience with Twitter! Highly recommend #health #Twitter,positive,health,2310,4216,729,2026-01-12 05:15:09.173246, #health #Twitter
post_0115,user_025,Great to see progress in data science. Well done everyone! #health #TikTok,positive,health,3859,1289,292,2026-01-16 05:15:09.173246, #health #TikTok
post_0116,user_017,Great to see progress in data science. Well done everyone! #health #Facebook,positive,health,5769,1810,774,2026-01-17 07:15:09.173246, #health #Facebook
post_0117,user_034,New study shows trends iin data science. Data attached. #science #Facebook,neutral,science,1411,4849,493,2025-12-30 16:15:09.173246, #science #Facebook
post_0118,user_021,So excited about the new science developments.Future is bright #science #YouTube,positive,science,6113,2698,95,2026-01-09 03:15:09.173246, #science #YouTube
post_0119,user_027,Loving the new features in YouTube. Game changer! #entertainment #YouTube,positive,entertainment,6580,2299,742,2025-12-25 02:15:09.173246, #entertainment #YouTube
post_0120,user_012,Just had an amazing experience with YouTube! Highly recommend #science #YouTube,positive,science,1913,1402,887,2026-01-05 12:15:09.173246, #science #YouTube
post_0121,user_009,Just had an amazing experience with YouTube! Highly recommend #entertainment #YouTube,positive,entertainment,1650,4497,119,2026-01-19 05:15:09.173246, #entertainment #YouTube
post_0122,user_035,So excited about the new politics developments.Future is bright #politics #TikTok,positive,politics,9714,4033,666,2026-01-01 18:15:09.173246, #politics #TikTok
post_0123,user_025,The state science is concerning. Need urgent action #science #YouTube,negative,science,8610,789,245,2026-01-04 16:15:09.173246, #science #YouTube
post_0124,user_028,Really disappointed with TikTok.Excepted better #entertainment #TikTok,negative,entertainment,8945,2285,262,2026-01-05 10:15:09.173246, #entertainment #TikTok
post_0125,user_003,Great to see progress in data science. Well done everyone! #technology #Facebook,positive,technology,3188,3644,28,2026-01-10 10:15:09.173246, #technology #Facebook
post_0126,user_005,New study shows trends iin ML. Data attached. #technology #TikTok,neutral,technology,5709,506,189,2025-12-24 05:15:09.173246, #technology #TikTok
post_0127,user_001,Really disappointed with YouTube.Excepted better #entertainment #YouTube,negative,entertainment,2698,4300,259,2026-01-12 15:15:09.173246, #entertainment #YouTube
post_0128,user_030,Really disappointed with Instagram.Excepted better #entertainment #Instagram,negative,entertainment,8419,785,363,2025-12-24 07:15:09.173246, #entertainment #Instagram
post_0129,user_027,Just had an amazing experience with Twitter! Highly recommend #technology #Twitter,positive,technology,6786,3794,670,2026-01-01 04:15:09.173246, #technology #Twitter
post_0130,user_047,The state entertainment is concerning. Need urgent action #entertainment #YouTube,negative,entertainment,1246,2354,781,2025-12-30 15:15:09.173246, #entertainment #YouTube
post_0131,user_005,The state sports is concerning. Need urgent action #sports #Facebook,negative,sports,658,3737,784,2025-12-28 15:15:09.173246, #sports #Facebook
post_0132,user_016,Loving the new features in Instagram. Game changer! #technology #Instagram,positive,technology,8972,3456,195,2026-01-21 15:15:09.173246, #technology #Instagram
post_0133,user_037,Just had an amazing experience with Facebook! Highly recommend #sports #Facebook,positive,sports,6408,3131,777,2026-01-14 12:15:09.173246, #sports #Facebook
post_0134,user_028,Discussion about TikTok features.What do you think? #health #TikTok,neutral,health,4698,4852,192,2026-01-10 16:15:09.173246, #health #TikTok
post_0135,user_035,Really disappointed with YouTube.Excepted better #politics #YouTube,negative,politics,692,377,248,2026-01-11 03:15:09.173246, #politics #YouTube
post_0136,user_030,New study shows trends iin AI. Data attached. #sports #YouTube,neutral,sports,7916,1814,602,2025-12-22 22:15:09.173246, #sports #YouTube
post_0137,user_044,Interesting article about technology.Worth reading. #technology #Facebook,neutral,technology,2494,1120,71,2026-01-20 19:15:09.173246, #technology #Facebook
post_0138,user_042,Really disappointed with Twitter.Excepted better #sports #Twitter,negative,sports,8364,4209,790,2025-12-29 15:15:09.173246, #sports #Twitter
post_0139,user_004,So excited about the new entertainment developments.Future is bright #entertainment #TikTok,positive,entertainment,90,2643,226,2025-12-26 01:15:09.173246, #entertainment #TikTok
post_0140,user_033,Loving the new features in Facebook. Game changer! #entertainment #Facebook,positive,entertainment,8885,2888,198,2026-01-11 22:15:09.173246, #entertainment #Facebook
post_0141,user_025,Really disappointed with TikTok.Excepted better #entertainment #TikTok,negative,entertainment,8445,4923,906,2026-01-16 16:15:09.173246, #entertainment #TikTok
post_0142,user_024,Facebook needs serious improvements. Not impressed #sports #Facebook,negative,sports,3828,4661,78,2026-01-18 12:15:09.173246, #sports #Facebook
post_0143,user_035,The state health is concerning. Need urgent action #health #Instagram,negative,health,9555,168,224,2026-01-14 23:15:09.173246, #health #Instagram
post_0144,user_017,Frustrated with the lack of progress in AI. #health #Instagram,negative,health,4571,3626,547,2026-01-05 15:15:09.174244, #health #Instagram
post_0145,user_018,Discussion about Facebook features.What do you think? #entertainment #Facebook,neutral,entertainment,6304,1296,718,2026-01-14 11:15:09.174244, #entertainment #Facebook
post_0146,user_005,Really disappointed with Instagram.Excepted better #health #Instagram,negative,health,2590,4282,667,2026-01-13 21:15:09.174244, #health #Instagram
post_0147,user_046,Änalysis of recent entertainment developments. #entertainment #Facebook,neutral,entertainment,8246,4808,279,2026-01-02 18:15:09.174244, #entertainment #Facebook
post_0148,user_026,Interesting article about health.Worth reading. #health #TikTok,neutral,health,6942,1880,452,2026-01-10 00:15:09.174244, #health #TikTok
post_0149,user_016,Great to see progress in ML. Well done everyone! #technology #Twitter,positive,technology,4659,2072,571,2026-01-09 10:15:09.174244, #technology #Twitter
post_0150,user_035,So excited about the new science developments.Future is bright #science #Twitter,positive,science,7080,598,753,2026-01-04 08:15:09.174244, #science #Twitter
post_0151,user_014,Loving the new features in Instagram. Game changer! #health #Instagram,positive,health,6010,2930,338,2025-12-31 14:15:09.174244, #health #Instagram
post_0152,user_017,Interesting article about health.Worth reading. #health #Twitter,neutral,health,5883,4672,621,2026-01-08 18:15:09.174244, #health #Twitter
post_0153,user_015,Just had an amazing experience with YouTube! Highly recommend #science #YouTube,positive,science,8904,3398,16,2026-01-08 16:15:09.174244, #science #YouTube
post_0154,user_003,New study shows trends iin ML. Data attached. #technology #Facebook,neutral,technology,8836,4007,809,2026-01-21 10:15:09.174244, #technology #Facebook
post_0155,user_006,So excited about the new science developments.Future is bright #science #YouTube,positive,science,7912,4746,906,2025-12-30 10:15:09.174244, #science #YouTube
post_0156,user_007,TikTok needs serious improvements. Not impressed #sports #TikTok,negative,sports,2138,4833,548,2025-12-29 03:15:09.174244, #sports #TikTok
post_0157,user_006,New study shows trends iin data science. Data attached. #sports #Twitter,neutral,sports,7954,1065,906,2026-01-07 07:15:09.174244, #sports #Twitter
post_0158,user_001,Just had an amazing experience with TikTok! Highly recommend #health #TikTok,positive,health,5632,2125,992,2026-01-15 20:15:09.174244, #health #TikTok
post_0159,user_044,Discussion about Facebook features.What do you think? #health #Facebook,neutral,health,2277,3141,988,2026-01-11 00:15:09.174244, #health #Facebook
post_0160,user_028,The state health is concerning. Need urgent action #health #Facebook,negative,health,9689,1308,4,2026-01-20 11:15:09.174244, #health #Facebook
post_0161,user_006,Loving the new features in YouTube. Game changer! #sports #YouTube,positive,sports,2856,596,332,2026-01-11 03:15:09.174244, #sports #YouTube
post_0162,user_038,Discussion about TikTok features.What do you think? #politics #TikTok,neutral,politics,6175,897,529,2026-01-06 08:15:09.174244, #politics #TikTok
post_0163,user_047,Interesting article about science.Worth reading. #science #Facebook,neutral,science,5023,1704,817,2026-01-21 14:15:09.174244, #science #Facebook
post_0164,user_044,Interesting article about health.Worth reading. #health #Twitter,neutral,health,4822,463,615,2026-01-18 18:15:09.174244, #health #Twitter
post_0165,user_017,New study shows trends iin AI. Data attached. #health #Instagram,neutral,health,7018,48,963,2026-01-19 21:15:09.174244, #health #Instagram
post_0166,user_001,Great to see progress in data science. Well done everyone! #sports #Instagram,positive,sports,2649,2209,579,2026-01-14 07:15:09.174244, #sports #Instagram
post_0167,user_039,Really disappointed with Instagram.Excepted better #technology #Instagram,negative,technology,1874,3477,4,2026-01-07 06:15:09.174244, #technology #Instagram
post_0168,user_048,Great to see progress in ML. Well done everyone! #science #TikTok,positive,science,9383,906,668,2025-12-26 07:15:09.174244, #science #TikTok
post_0169,user_011,So excited about the new health developments.Future is bright #health #Facebook,positive,health,440,616,357,2026-01-07 14:15:09.174244, #health #Facebook
post_0170,user_015,Loving the new features in YouTube. Game changer! #entertainment #YouTube,positive,entertainment,7558,1799,298,2025-12-24 19:15:09.174244, #entertainment #YouTube
post_0171,user_032,YouTube needs serious improvements. Not impressed #politics #YouTube,negative,politics,8871,3224,583,2025-12-30 07:15:09.174244, #politics #YouTube
post_0172,user_008,Loving the new features in Facebook. Game changer! #technology #Facebook,positive,technology,4047,1436,666,2026-01-08 09:15:09.174244, #technology #Facebook
post_0173,user_009,Änalysis of recent sports developments. #sports #Twitter,neutral,sports,8741,3616,463,2026-01-15 08:15:09.174244, #sports #Twitter
post_0174,user_031,Frustrated with the lack of progress in AI. #sports #Twitter,negative,sports,7576,3683,283,2025-12-31 03:15:09.174244, #sports #Twitter
post_0175,user_014,Discussion about Twitter features.What do you think? #politics #Twitter,neutral,politics,2048,2609,507,2026-01-07 23:15:09.174244, #politics #Twitter
post_0176,user_042,Twitter needs serious improvements. Not impressed #technology #Twitter,negative,technology,866,3675,884,2025-12-23 21:15:09.174244, #technology #Twitter
post_0177,user_018,Facebook needs serious improvements. Not impressed #technology #Facebook,negative,technology,5302,107,720,2026-01-10 08:15:09.174244, #technology #Facebook
post_0178,user_037,The state politics is concerning. Need urgent action #politics #YouTube,negative,politics,3903,711,639,2025-12-25 05:15:09.175244, #politics #YouTube
post_0179,user_031,Discussion about Instagram features.What do you think? #science #Instagram,neutral,science,7901,2765,421,2026-01-08 21:15:09.175244, #science #Instagram
post_0180,user_005,New study shows trends iin programming. Data attached. #entertainment #Facebook,neutral,entertainment,5174,3602,123,2025-12-30 22:15:09.175244, #entertainment #Facebook
post_0181,user_027,Great to see progress in programming. Well done everyone! #health #TikTok,positive,health,3822,587,727,2026-01-05 22:15:09.175244, #health #TikTok
post_0182,user_046,Really disappointed with Twitter.Excepted better #science #Twitter,negative,science,7201,279,456,2026-01-15 23:15:09.175244, #science #Twitter
post_0183,user_047,So excited about the new science developments.Future is bright #science #Facebook,positive,science,668,1728,839,2026-01-15 15:15:09.175244, #science #Facebook
post_0184,user_039,Interesting article about sports.Worth reading. #sports #Instagram,neutral,sports,4519,2466,702,2026-01-13 12:15:09.175244, #sports #Instagram
post_0185,user_032,Instagram needs serious improvements. Not impressed #health #Instagram,negative,health,8210,2477,761,2026-01-11 10:15:09.175244, #health #Instagram
post_0186,user_001,Interesting article about sports.Worth reading. #sports #Instagram,neutral,sports,2447,699,475,2026-01-21 19:15:09.175244, #sports #Instagram
post_0187,user_004,Frustrated with the lack of progress in programming. #technology #YouTube,negative,technology,1491,880,699,2026-01-03 06:15:09.175244, #technology #YouTube
post_0188,user_043,Discussion about Instagram features.What do you think? #health #Instagram,neutral,health,4797,1782,710,2025-12-27 17:15:09.175244, #health #Instagram
post_0189,user_018,The state entertainment is concerning. Need urgent action #entertainment #Twitter,negative,entertainment,7946,3559,896,2025-12-29 15:15:09.175244, #entertainment #Twitter
post_0190,user_009,Frustrated with the lack of progress in ML. #sports #YouTube,negative,sports,156,2245,953,2025-12-25 03:15:09.175244, #sports #YouTube
